origin,destination,avg_enroute_min
SBKP,SBPS,115
SBKP,SBRD,115
SBKP,SBRF,183
SBKP,SBRJ,65
SBKP,SBRP,56
SBKP,SBSG,193
SBKP,SBSI,145
SBKP,SBSL,195
SBKP,SBSO,137
SBKP,SBSR,74
SBKP,SBSV,139
SBKP,SBTE,175
SBKP,SBUL,89
SBKP,SBVH,175
SBKP,SBVT,92
SBKP,SBZM,85
SBKP,SIMK,90
SBKP,SSKW,190
SBKP,SUMU,165
SBLE,SBSV,65
SBLO,SBCT,61
SBLO,SBKP,76
SBMA,SBBE,65
SBMA,SBCF,150
SBMD,SNMZ,37
SBMG,SBCT,70
SBMG,SBKP,87
SBMK,SBCF,65
SBML,SBKP,60
SBMO,SBCF,135
SBMO,SBGO,155
SBMO,SBKP,178
SBMO,SBRF,50
SBMO,SBRP,165
SBMO,SBSP,188
SBMO,SBSR,170
SBMO,SBUL,161
SBMQ,SBBE,57
SBMY,SBEG,100
SBNF,SBKP,70
SBNM,SBPA,65
SBPA,SBCF,129
SBPA,SBCT,72
SBPA,SBGL,115
SBPA,SBGR,105
SBPA,SBKP,100
SBPA,SBNM,80
SBPA,SBPK,55
SBPA,SBRF,244
SBPA,SBSM,65
SBPA,SBSP,96
SBPA,SBUG,105
SBPF,SBKP,85
SBPJ,SBCF,115
SBPJ,SBGO,87
SBPJ,SBKP,140
SBPK,SBPA,55
SBPL,SBKP,162
SBPL,SBRF,80
SBPO,SBCT,63
SBPO,SBKP,100
SBPP,SBKP,90
SBPS,SBAE,125
SBPS,SBCF,82
SBPS,SBDN,145
SBPS,SBGO,115
SBPS,SBGR,115
SBPS,SBKP,125
SBPS,SBRP,110
SBPS,SBSP,129
SBPS,SBSR,118
SBPS,SBSV,80
SBPS,SBUL,110
SBPV,SBCF,205
SBPV,SBCY,180
SBPV,SBEG,168
SBRB,SBCF,223
SBRD,SBKP,110
SBRF,LEMD,485
SBRF,LPPR,480
SBRF,SBAR,85
SBRF,SBBE,160
SBRF,SBBR,160
SBRF,SBCF,151
SBRF,SBEG,245
SBRF,SBFL,233
SBRF,SBFN,76
SBRF,SBFZ,84
SBRF,SBGL,175
SBRF,SBGO,169
SBRF,SBGR,196
SBRF,SBJP,45
SBRF,SBJU,100
SBRF,SBKG,50
SBRF,SBKP,195
SBRF,SBMO,55
SBRF,SBPA,267
SBRF,SBPL,80
SBRF,SBRP,185
SBRF,SBSG,65
SBRF,SBSL,120
SBRF,SBSP,201
SBRF,SBSR,190
SBRF,SBSV,86
