origin,destination,avg_enroute_min
MMGL,KPDX,267
KPDX,MMGL,267.4
MMMX,MMTJ,181.5
MMGL,KPHX,138.7
KPHX,MMGL,147.9
MMTJ,MMMX,170.5
MMGL,KRNO,206.5
KRNO,MMGL,212.2
MMMX,MMTJ,182.4
MMGL,KEWR,262.1
KEWR,MMGL,292.1
MMTJ,MMMX,172
MMGL,KCLT,211.3
KCLT,MMGL,220.6
MMMX,MMMD,81.5
MMMD,MMMX,90.3
MMMX,MMMD,82.4
MMMD,MMMX,89.8
MMMX,MMMY,70.2
MMMY,MMMX,62.5
MMMX,MMMY,69.7
MMMY,MMMX,62.1
MMMX,MMMY,70.3
MMMY,MMMX,63
MMMX,MMTG,62.8
MMTP,MMTG,27
MMTG,MMMX,65
MMMX,MMTG,63.5
MMTG,MMMX,65.5
MMMX,MMPR,59
MMPR,MMMX,64.2
MMMX,MMPR,59.3
MMPR,MMMX,64.1
MMMX,MMPR,58
MMPR,MMMX,66
MMTJ,MMCL,100
MMCL,MMTJ,104
MMTJ,MMCL,100.7
MMCL,MMTJ,105.2
MMTJ,MMCL,100.4
MMCL,MMTJ,105.9
MMTJ,MMCL,100.8
MMCL,MMTJ,106.1
MMMX,MMSD,97.6
MMSD,MMMX,100.3
MMMX,MMSD,96
MMTJ,MMLO,151.4
MMLO,MMTJ,158.7
MMTJ,MMLO,150.9
MMLO,MMTJ,158.6
MMSP,MMLO,20
MMTJ,MMLO,150.8
MMLO,MMTJ,158.9
MMSD,MMMX,99.5
MMMX,MMSD,96.3
MMQT,MMMM,22
MMTJ,MMMM,1377.2
MMMM,MMTJ,169.6
MMTJ,MMMM,158.6
MMMM,MMTJ,168
MMSD,MMMX,99.3
MMTJ,MMUN,236.6
MMUN,MMTJ,1534.3
MMTJ,MMUN,235.8
MMUN,MMTJ,256.3
MMTJ,MMSD,107.7
MMSD,MMTJ,102.8
MMTJ,MMSD,108.1
MMSD,MMTJ,102.9
MMTJ,MMSD,107.9
MMSD,MMTJ,103.1
MMMZ,MMPR,35
MMTJ,MMPR,137.9
MMPR,MMTJ,141.8
MMTJ,MMPR,137.9
MMPR,MMTJ,140.6
MMTJ,MMPR,138
MMPR,MMTJ,141
MMTJ,MMOX,198.7
MMOX,MMTJ,207.1
MMTJ,MMOX,197.9
MMOX,MMTJ,207.7
MMTJ,MMHO,60.1
MMHO,MMTJ,63
MMTJ,MMHO,60
MMHO,MMTJ,62.6
MMTJ,MMHO,60.6
MMHO,MMTJ,62.8
MMTJ,MMHO,60.1
MMHO,MMTJ,64.1
MMHO,MMTJ,61
MMTJ,MMMZ,117.4
MMMZ,MMTJ,120.3
MMTJ,MMMZ,117.5
MMMZ,MMTJ,120
MMTJ,MMAS,142.4
MMAS,MMTJ,148.9
MMTJ,MMAS,142.2
MMAS,MMTJ,151.4
MMTJ,MMAS,142
MMAS,MMTJ,149.8
MMTJ,MMZC,133
MMZC,MMTJ,142.1
MMZC,MMTJ,141.5
MMTJ,MMPB,182
MMPB,MMTJ,189
MMTJ,MMPB,184
MMPB,MMTJ,188.5
MMHO,MMLP,57
MMTJ,MMLP,94.6
MMLP,MMTJ,95.7
MMTJ,MMLP,95.3
MMLP,MMTJ,97.1
MMTJ,MMLP,94.6
MMLP,MMTJ,96.5
MMTJ,MMLP,95.6
MMLP,MMTJ,97.3
MMMX,MMML,173.7
MMGL,MMEP,22.3
MMTJ,MMEP,133
MMEP,MMTJ,139.5
MMTJ,MMEP,132.2
MMEP,MMTJ,139.1
MMML,MMMX,162
MMTJ,MMDO,116.1
MMDO,MMTJ,123.8
MMTJ,MMDO,116.6
MMDO,MMTJ,125.8
MMTJ,MMLM,89.9
MMLM,MMTJ,93
MMTJ,MMLM,89.2
MMLM,MMTJ,92.8
MMTJ,MMIA,154.5
MMIA,MMTJ,157.6
MMTJ,MMIA,154.7
MMIA,MMTJ,157.4
MMTJ,MMAA,192
MMAA,MMTJ,190
MMTJ,MMAA,192
MMGL,MMPN,17
MMMM,MMPN,18
MMTJ,MMPN,164
MMPN,MMTJ,164.7
MMTJ,MMCS,82.4
MMCS,MMTJ,94.1
MMTJ,MMCS,83
MMCS,MMTJ,92.9
MMTJ,MMCU,89.1
MMCU,MMTJ,98.8
MMTJ,MMCU,88.7
MMCU,MMTJ,98.6
MMTJ,MMSM,175.8
MMHO,MMTJ,64
MMML,MMTJ,28
MMSM,MMTJ,177.9
MMTJ,MMCN,75.6
MMCN,MMTJ,78.9
MMTJ,MMCN,75
MMCN,MMTJ,79
MMLO,MMTO,39
MMTJ,MMTO,175.5
MMTO,MMTJ,178.6
MMTJ,MMTG,221.9
MMTG,MMTJ,234.4
MMTJ,MMQT,159.8
MMQT,MMTJ,168
MMTJ,MMTP,236.2
MMTP,MMTJ,245.9
MMTJ,MMZH,174.4
MMZH,MMTJ,177.9
MMTJ,MMTC,115.3
MMTC,MMTJ,125.2
MMTJ,MMSP,147.3
MMSP,MMTJ,155.9
MMTJ,MMVR,192
MMVR,MMTJ,202.2
MMTJ,MMLT,79
MMLT,MMTJ,79.7
MMMX,MMBT,50.8
MMBT,MMMX,51.4
MMMM,MMMX,32
MMSM,MMMX,37
MMMX,MMBT,51
MMBT,MMMX,48.8
MMUN,MMTO,118.3
MMTO,MMUN,122.3
MMUN,MMTO,118.3
MMTO,MMUN,122.3
MMMX,MMCS,124.3
MMUN,MMLO,127.2
MMLO,MMUN,132.2
MMUN,MMLO,127.3
MMLO,MMUN,132.3
MMUN,MMLO,128.2
MMLO,MMUN,123.5
MMCS,MMMX,118.6
MMLO,MMMX,30
MMUN,MMQT,120.6
MMQT,MMUN,120.8
MMUN,MMQT,120.4
MMQT,MMUN,120.4
MMUN,MMSM,106.6
MMSM,MMUN,116.4
MMUN,MMSM,107
MMSM,MMUN,114.7
MMUN,MMPB,101.2
MMVR,MMPB,32
MMPB,MMUN,114.8
MMUN,MMPB,102.1
MMPB,MMUN,115
MMUN,MMTG,69.6
MMTG,MMUN,79.9
MMTG,MMUN,79.6
MMUN,MMSP,117.5
MMSP,MMUN,122
MMUN,MMOX,90.2
MMOX,MMUN,105.6
MMMX,MMPS,47
MMPS,MMMX,91.7
MMMX,MMPS,45
MMUN,MMAS,128
MMAS,MMUN,126.9
MMUN,MMMM,118.7
MMMM,MMUN,131.7
MMPS,MMMX,53
KMFE,MMUN,104.2
MMUN,KMFE,118.3
MMMX,MMAA,33.7
MMAA,MMMX,34.4
MMAA,MMMX,34.5
MMSM,MMMX,38
MMMX,MMHO,131.6
MMHO,MMMX,128.6
MMMX,MMCL,91.3
MMCL,MMMX,86
MMMX,SKBO,245.4
SKBO,MMMX,236.5
MMMX,SPJC,328.3
SPJC,MMMX,329.4
MMMX,MMCL,92
MMCL,MMMX,1524
MMUN,MGGT,69.2
MGGT,MMUN,83
MMUN,MROC,103.2
MRLB,MROC,19
MROC,MMUN,109.6
MMMX,MMMZ,75.6
MMAA,MMMX,34
MMMZ,MMMX,73.6
MMMX,MMMZ,76
MMMZ,MMMX,73.6
MMMX,MMCU,102.1
MMCU,MMMX,99.8
MMMX,MMCU,103
MMMX,MMLP,105.1
MMLP,MMMX,105
MMMX,MMTP,79.1
MMTP,MMMX,76.2
MMMX,MMTP,78.6
MMTP,MMMX,75
MMBT,MMOX,20
MMMX,MMOX,37
MMOX,MMMX,38.2
MMMX,MMCZ,102.2
MMCZ,MMMX,109.2
MMMX,MMVA,60.4
MMVA,MMMX,61.6
MMMX,MMZH,35.9
MMZH,MMMX,35.5
MMMX,MMCM,93.3
MMCM,MMMX,96
MMMX,MMLM,107.1
MMLM,MMMX,102.6
MMMX,MMGL,45
MMGL,MMMX,52
MMGL,MMMX,51
MMGL,MMTJ,140
MMGL,MMMX,51
MMUN,MMMX,108
MMMX,MMTJ,186
MMLO,MMTJ,159.5
MMMX,MMUN,100
MMGL,MMMX,51
MMLO,MMTJ,157
MMMM,MMTJ,167
MMGL,MMMX,53
MMGL,MMTJ,147
MMGL,MMTJ,146.7
MMTJ,MMGL,156.4
MMTJ,MMGL,161
MMMX,MMGL,45
MMGL,MMMX,51.6
MMMX,MMGL,44.3
MMMD,MMMX,96
MMHO,MMMX,131
MMTO,MMSD,92.1
MMSD,MMTO,104.5
MMMY,MMGL,68.9
MMGL,MMMY,68.4
MMMY,MMCS,79.6
MMCS,MMMY,84.6
MMMY,MMCL,70.3
MMCL,MMMY,72
MMMY,MMQT,51.4
MMQT,MMMY,63.8
MMMY,MMQT,50.9
MMQT,MMMY,63.9
MMMY,MMOX,88.7
MMOX,MMMY,93.4
MMMY,MMML,139.1
MMML,MMMY,133.1
MMMY,MMMM,1374.5
MMMM,MMMY,70.4
MMUN,MMMY,126
MMMY,MMUN,114.9
MMUN,MMMY,124.5
MMMY,MMUN,115.1
MMUN,MMMY,125.2
MMMY,MMUN,1315.4
MMUN,MMMY,124.7
MMMY,MMMD,97.3
MMMD,MMMY,105.4
MMMY,MMLO,49
MMLO,MMMY,60.1
MMMY,MMLO,1227.3
MMLO,MMMY,60.3
MMTO,MMPR,55.1
MMMY,MMTO,68
MMTO,MMMY,73.9
MMLO,MMTO,39
MMMY,MMTO,67.4
MMZH,MMTO,37
MMTO,MMMY,74.6
MMMY,MMTJ,147.7
MMTJ,MMMY,135.7
MMPR,MMTO,61.1
MMMY,MMTJ,146.9
MMHO,MMMY,96
MMSP,MMMY,51
MMTJ,MMMY,137.5
MMMY,MMPR,72.1
MMPR,MMMY,77.7
MMMY,MMPR,72.5
MMMZ,MMPR,34
MMPR,MMMY,78
MMMY,MMMX,63
MMMX,MMMY,70.4
MMMX,KORD,214.7
KORD,MMMX,211.2
MMMX,KORD,216.9
KORD,MMMX,209
MMMX,KLAX,198.2
KLAX,MMMX,189.1
MMSM,MMMD,82
MMMD,MMSM,87.9
MMMD,MMSM,87.8
MMLP,MMSD,33
MMSM,MMSD,98.2
MMSD,MMSM,97.9
MMSM,MMLP,107.1
MMLP,MMSM,104.7
MMMX,KIAH,1511.1
MMLO,MMPR,40.3
MMPR,MMLO,41.9
MMLO,MMPR,40.1
MMPR,MMLO,41.9
MMLO,MMPR,41
MMPR,MMLO,42
KIAH,MMMX,103.4
MMLO,MMSD,79.1
MMSD,MMLO,78.9
MMLO,MMML,151.9
MMML,MMLO,143.3
MMMX,KLAS,191.6
MMML,MMCL,94.7
MMCL,MMML,99.1
KLAS,MMMX,185.8
MMLM,MMML,1238.3
