origin,destination,avg_enroute_min
SBCF,SBGR,78
SBCF,SBPA,135
SBCF,SBPA,140
SACO,SBGR,180
SBCT,SBBR,115
SBCT,SBBR,111
SBCT,SBBR,113
SBCT,SBSP,68
SBCT,SBSP,66
SBCT,SBGL,85
SBCT,SBGL,85
SBCT,SBGR,68
SBCT,SBGR,72
SBCT,SBGR,73
SBCT,SBFI,75
SBCT,SBFI,75
SBCT,SBPA,74
SBCX,SBGR,95
SBCX,SBGR,96
SBDO,SBGR,106
SBDO,SBGR,107
SAEZ,SBGR,166
SAEZ,SBGR,166
SAEZ,SBRF,306
LIRF,SBGR,718
LIRF,SBGR,719
SBFN,SBGR,245
SBFL,SBBR,128
SBFL,SBBR,129
SBFL,SBBR,128
SBFL,SBSP,82
SBFL,SBSP,75
SBFL,SBGR,83
SBFL,SBGR,89
SBFL,SBGR,85
SBFL,SBPA,60
SBFZ,SBBE,125
SBFZ,SBBE,124
SBFZ,SBBR,160
SBFZ,SBBR,162
SBFZ,SBBR,160
SBFZ,SBSP,218
SBFZ,SBSP,219
SBFZ,SBGL,199
SBFZ,SBGL,199
SBFZ,SBGR,219
SBFZ,SBGR,216
SBFZ,SBGR,213
SBFZ,SBGR,204
SBFZ,SBJU,60
SBFZ,SBJU,60
SBFZ,LPPT,419
SBFZ,SBEG,210
SBFZ,SBEG,209
SBFZ,SBSG,60
SBFZ,SBSG,60
SBFZ,SBPB,55
SBFZ,SBRF,75
SBFZ,SBRF,75
SBFZ,SBRF,75
SBFZ,SCEL,390
SBFZ,SBSL,80
SBFZ,SBSL,80
SBFZ,SBSV,110
SBFZ,SBSV,110
SBFZ,SBTE,70
SBFZ,SBTE,69
SBFZ,SBTE,70
EDDF,SBGR,725
SBGL,SBPS,95
SBGL,SBPS,95
SBGL,SBPS,95
SBGL,SBBR,110
SBGL,SBBR,107
SBGL,SBBR,108
SBGL,SBCT,88
SBGL,SBCT,88
SBGL,SBFZ,190
SBGL,SBFZ,191
SBGL,SBGR,72
SBGL,SBGR,72
SBGL,SBGR,73
SBGL,SBFI,131
SBGL,SBFI,131
SBGL,SBJP,176
SBGL,SBJP,175
SBGL,SBEG,245
SBGL,SBEG,245
SBGL,SBPA,126
SBGL,SBPA,125
SBGL,SCEL,290
SBGL,SBSL,193
SBGL,SBSL,190
SBGL,SBSV,120
SBGL,SBVT,63
SBGL,SBVT,64
SBGR,SABE,176
SBGR,SBAR,155
SBGR,SBAR,155
SBGR,SBAR,155
SBGR,EHAM,712
SBGR,LEBL,635
SBGR,SBBE,217
SBGR,SBBE,217
SBGR,KBOS,595
SBGR,SBPS,120
SBGR,SBPS,115
SBGR,SBPS,114
SBGR,SBBR,101
SBGR,SBBR,103
SBGR,SBBR,103
SBGR,SBBV,274
SBGR,SBBV,275
SBGR,SBDB,115
SBGR,SBDB,115
SBGR,SBCA,95
SBGR,SBCA,95
SBGR,LFPG,679
SBGR,SBCY,135
SBGR,SBCY,136
SBGR,SBCY,136
SBGR,SBCG,106
SBGR,SBCG,105
SBGR,SBCF,70
SBGR,SBCF,72
SBGR,SBCF,72
SBGR,SACO,213
SBGR,SBCT,65
SBGR,SBCT,64
SBGR,SBCT,64
SBGR,SBCX,95
SBGR,SBCX,96
SBGR,SBDO,110
SBGR,SBDO,109
SBGR,SAEZ,177
SBGR,SAEZ,179
SBGR,LIRF,681
SBGR,LIRF,680
SBGR,SBFN,223
SBGR,SBFL,76
SBGR,SBFL,75
SBGR,SBFL,76
SBGR,SBFZ,200
SBGR,SBFZ,198
SBGR,SBFZ,200
SBGR,SBFZ,200
SBGR,EDDF,713
SBGR,SBGL,61
SBGR,SBGL,60
SBGR,SBGL,60
SBGR,SBGO,95
SBGR,SBGO,96
SBGR,SBGO,96
SBGR,SBFI,105
SBGR,SBFI,105
SBGR,SBFI,105
SBGR,SBIZ,180
SBGR,SBIZ,180
SBGR,SBIL,120
SBGR,SBIL,122
SBGR,SBJU,170
SBGR,SBJU,171
SBGR,KJFK,586
SBGR,SBJE,201
SBGR,SBJE,199
SBGR,SBJA,88
SBGR,SBJA,83
SBGR,FAOR,532
SBGR,SBJV,66
SBGR,SBJV,65
SBGR,SBJP,195
SBGR,SBJP,193
SBGR,SBJP,194
SBGR,KLAX,734
SBGR,SBLO,75
SBGR,SBLO,75
SBGR,EGLL,684
SBGR,SPIM,304
SBGR,SPIM,298
SBGR,SPIM,300
SBGR,LPPT,580
SBGR,LPPT,578
SBGR,LEMD,603
SBGR,SBEG,235
SBGR,SBEG,235
SBGR,KMCO,524
SBGR,SBMQ,230
SBGR,SBMO,175
SBGR,SBMO,173
SBGR,SBMO,172
SBGR,SAME,231
SBGR,MMMX,558
SBGR,SBMG,85
SBGR,SBMG,85
SBGR,SBMG,85
SBGR,KMIA,510
SBGR,KMIA,496
SBGR,SBMK,91
SBGR,SBMK,89
SBGR,SUMU,162
SBGR,SUMU,160
SBGR,LIMC,675
SBGR,SBSG,200
SBGR,SBSG,198
SBGR,SBSG,198
SBGR,SBNF,71
SBGR,SBNF,69
SBGR,SBSI,155
SBGR,SBSI,155
SBGR,SBPK,120
SBGR,SBPF,99
SBGR,SBPJ,145
SBGR,SBPJ,144
SBGR,SBPJ,143
SBGR,SBPL,155
SBGR,SBPL,157
SBGR,SBPL,159
SBGR,SBPA,105
SBGR,SBPA,106
SBGR,SBPA,106
SBGR,SBPV,225
SBGR,SBPV,224
SBGR,SBRP,70
SBGR,SBRP,69
SBGR,SBRB,240
SBGR,SBRB,237
SBGR,SBRB,240
SBGR,SBRF,185
SBGR,SBRF,185
SBGR,SBRF,185
SBGR,SAAR,172
SBGR,SCEL,254
SBGR,SCEL,256
SBGR,SBRJ,60
SBGR,SBSR,70
SBGR,SBSR,68
SBGR,SBSL,204
SBGR,SBSL,205
SBGR,SBSL,205
SBGR,SBSV,140
SBGR,SBSV,139
SBGR,SBSV,138
